Date,^DJI,^IXIC
2024-08-02,39737.26171875,16776.16015625
2024-08-05,38703.26953125,16200.080078125
2024-08-09,39497.5390625,16745.30078125
2024-08-12,39357.01171875,16780.609375
2024-08-16,40659.76171875,17631.720703125
2024-08-19,40896.53125,17876.76953125
2024-08-23,41175.078125,17877.7890625
2024-08-26,41240.51953125,17725.76953125
2024-08-30,41563.078125,17713.619140625
2024-09-06,40345.41015625,16690.830078125
2024-09-09,40829.58984375,16884.599609375
2024-09-13,41393.78125,17683.98046875
2024-09-16,41622.078125,17592.130859375
2024-09-20,42063.359375,17948.3203125
2024-09-23,42124.6484375,17974.26953125
2024-09-27,42313.0,18119.58984375
2024-09-30,42330.1484375,18189.169921875
2024-10-04,42352.75,18137.849609375
2024-10-07,41954.23828125,17923.900390625
2024-10-11,42863.859375,18342.939453125
2024-10-14,43065.21875,18502.689453125
2024-10-18,43275.91015625,18489.55078125
2024-10-21,42931.6015625,18540.009765625
2024-10-25,42114.3984375,18518.609375
2024-10-28,42387.5703125,18567.189453125
2024-11-01,42052.19140625,18239.919921875
2024-11-04,41794.6015625,18179.98046875
2024-11-08,43988.98828125,19286.779296875
2024-11-11,44293.12890625,19298.759765625
2024-11-15,43444.98828125,18680.119140625
2024-11-18,43389.6015625,18791.810546875
2024-11-22,44296.51171875,19003.650390625
2024-11-25,44736.5703125,19054.83984375
2024-11-29,44910.6484375,19218.169921875
2024-12-02,44782.0,19403.94921875
2024-12-06,44642.51953125,19859.76953125
2024-12-09,44401.9296875,19736.689453125
2024-12-13,43828.05859375,19926.720703125
2024-12-16,43717.48046875,20173.890625
2024-12-20,42840.26171875,19572.599609375
2024-12-23,42906.94921875,19764.880859375
2024-12-27,42992.2109375,19722.029296875
2024-12-30,42573.73046875,19486.7890625
2025-01-03,42732.12890625,19621.6796875
2025-01-06,42706.55859375,19864.98046875
2025-01-10,41938.44921875,19161.630859375
2025-01-13,42297.12109375,19088.099609375
2025-01-17,43487.828125,19630.19921875
2025-01-24,44424.25,19954.30078125
2025-01-27,44713.578125,19341.830078125
2025-01-31,44544.66015625,19627.439453125
2025-02-03,44421.91015625,19391.9609375
2025-02-07,44303.3984375,19523.400390625
2025-02-10,44470.41015625,19714.26953125
2025-02-14,44546.078125,20026.76953125
2025-02-21,43428.01953125,19524.009765625
2025-02-24,43461.2109375,19286.9296875
2025-02-28,43840.91015625,18847.279296875
2025-03-03,43191.23828125,18350.189453125
2025-03-07,42801.71875,18196.220703125
2025-03-10,41911.7109375,17468.3203125
2025-03-14,41488.19140625,17754.08984375
2025-03-17,41841.62890625,17808.66015625
2025-03-21,41985.3515625,17784.05078125
2025-03-24,42583.3203125,18188.58984375
2025-03-28,41583.8984375,17322.990234375
2025-03-31,42001.76171875,17299.2890625
2025-04-04,38314.859375,15587.7900390625
2025-04-07,37965.6015625,15603.259765625
2025-04-11,40212.7109375,16724.4609375
2025-04-14,40524.7890625,16831.48046875
2025-04-21,38170.41015625,15870.900390625
2025-04-25,40113.5,17382.939453125
2025-04-28,40227.58984375,17366.130859375
2025-05-02,41317.4296875,17977.73046875
2025-05-05,41218.828125,17844.240234375
2025-05-09,41249.37890625,17928.919921875
2025-05-12,42410.1015625,18708.33984375
2025-05-16,42654.73828125,19211.099609375
2025-05-19,42792.0703125,19215.4609375
2025-05-23,41603.0703125,18737.2109375
2025-05-30,42270.0703125,19113.76953125
2025-06-02,42305.48046875,19242.609375
2025-06-06,42762.87109375,19529.94921875
2025-06-09,42761.76171875,19591.240234375
2025-06-13,42197.7890625,19406.830078125
2025-06-16,42515.08984375,19701.2109375
2025-06-20,42206.8203125,19447.41015625
2025-06-23,42581.78125,19630.970703125
2025-06-27,43819.26953125,20273.4609375
2025-06-30,44094.76953125,20369.73046875
2025-07-07,44406.359375,20412.51953125
2025-07-11,44371.51171875,20585.529296875
2025-07-14,44459.6484375,20640.330078125
2025-07-18,44342.19140625,20895.650390625
2025-07-21,44323.0703125,20974.1796875
2025-07-25,44901.921875,21108.3203125
2025-07-28,44837.55859375,21178.580078125
2025-08-01,43588.578125,20650.130859375
2025-08-04,44173.640625,21053.580078125
2025-08-08,44175.609375,21450.01953125
2025-08-11,43975.08984375,21385.400390625
2025-08-15,44946.12109375,21622.98046875
2025-08-18,44911.8203125,21629.76953125
2025-08-22,45631.73828125,21496.5390625
2025-08-25,45282.46875,21449.2890625
2025-08-29,45544.87890625,21455.55078125
2025-09-05,45400.859375,21700.390625
2025-09-08,45514.94921875,21798.69921875
2025-09-12,45834.21875,22141.099609375
2025-09-15,45883.44921875,22348.75
2025-09-19,46315.26953125,22631.48046875
2025-09-22,46381.5390625,22788.98046875
2025-09-26,46247.2890625,22484.0703125
2025-09-29,46316.0703125,22591.150390625
2025-10-03,46758.28125,22780.509765625
2025-10-06,46694.96875,22941.669921875
2025-10-10,45479.6015625,22204.4296875
2025-10-13,46067.578125,22694.609375
2025-10-17,46190.609375,22679.970703125
